# energy s(up) s(down) p(up) p(down) d(up) d(down)
-6.169760000000000133e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.165619999999999834e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.161489999999999867e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.157359999999999900e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.153229999999999933e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.149099999999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.144959999999999667e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.140829999999999700e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.136699999999999733e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.132569999999999766e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.128439999999999799e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.124300000000000210e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.120170000000000243e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.116040000000000276e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.000000000000000096e-04 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.111910000000000309e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.590000000000000094e-02 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.107770000000000010e+01 0.000000000000000000e+00 -0.000000000000000000e+00 5.957000000000000073e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.103640000000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00 6.275000000000000355e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.099510000000000076e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.914270000000000138e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.095380000000000109e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.723339999999999961e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.091250000000000142e+01 0.000000000000000000e+00 -0.000000000000000000e+00 4.569499999999999673e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.087109999999999843e+01 0.000000000000000000e+00 -0.000000000000000000e+00 3.490999999999999659e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.082979999999999876e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.260000000000000009e-02 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.078849999999999909e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.202000000000000068e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.074719999999999942e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.628700000000000259e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.070580000000000354e+01 0.000000000000000000e+00 -0.000000000000000000e+00 9.058199999999999363e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.066449999999999676e+01 0.000000000000000000e+00 -0.000000000000000000e+00 9.191300000000000026e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.062319999999999709e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.746999999999999886e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.058189999999999742e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.368999999999999995e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.054059999999999775e+01 0.000000000000000000e+00 -0.000000000000000000e+00 5.799999999999999600e-03 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.049920000000000186e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.045790000000000219e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.041660000000000252e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.037530000000000285e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.033400000000000318e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.029260000000000019e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.025130000000000052e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.021000000000000085e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.016870000000000118e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.012729999999999819e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.008599999999999852e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.004469999999999885e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.000339999999999918e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.996209999999999951e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.992070000000000363e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.987939999999999685e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.983809999999999718e+01 0.000000000000000000e+00 -0.000000000000000000e+00 4.300000000000000003e-03 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.979679999999999751e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.336000000000000021e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.975540000000000163e+01 0.000000000000000000e+00 -0.000000000000000000e+00 3.569100000000000161e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.971410000000000196e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.566039999999999921e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.967280000000000229e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.019440000000000168e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.963150000000000261e+01 0.000000000000000000e+00 -0.000000000000000000e+00 7.689799999999999969e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.959020000000000294e+01 0.000000000000000000e+00 -0.000000000000000000e+00 8.503000000000000558e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.954879999999999995e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.659999999999999865e-02 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.950750000000000028e+01 0.000000000000000000e+00 -0.000000000000000000e+00 6.100000000000000387e-03 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.946620000000000061e+01 0.000000000000000000e+00 -0.000000000000000000e+00 2.692999999999999838e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.942490000000000094e+01 0.000000000000000000e+00 -0.000000000000000000e+00 3.611400000000000166e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.938360000000000127e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.495539999999999914e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.934219999999999828e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.979129999999999612e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.930089999999999861e+01 0.000000000000000000e+00 -0.000000000000000000e+00 8.727300000000001390e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.925959999999999894e+01 0.000000000000000000e+00 -0.000000000000000000e+00 5.303200000000000358e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.921829999999999927e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.671619999999999706e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.917690000000000339e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.958789999999999765e+01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.913559999999999661e+01 0.000000000000000000e+00 -0.000000000000000000e+00 6.790899999999999714e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.909429999999999694e+01 0.000000000000000000e+00 -0.000000000000000000e+00 6.821999999999999176e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.905299999999999727e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.920000000000000179e-02 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.901169999999999760e+01 0.000000000000000000e+00 -0.000000000000000000e+00 1.000000000000000048e-04 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.897030000000000172e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.892900000000000205e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.888770000000000238e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.884640000000000271e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.880499999999999972e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.876370000000000005e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.872240000000000038e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.868110000000000070e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.863980000000000103e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.859839999999999804e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.855709999999999837e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.851579999999999870e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.847449999999999903e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.843319999999999936e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.839180000000000348e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.835049999999999670e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.830919999999999703e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-5.826789999999999736e+01 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
